Datos principales,Tiempo serie 1,Datos serie 1,Tiempo serie 2,Datos serie 2,
Velocidad de Jupiter,1011.248535,0.037813,1443.131226,0.049608
4333,1011.264893,0.037813,1443.147461,0.049609
0.028336,1011.281189,0.037814,1443.163696,0.049609
,1011.297546,0.037814,1443.179932,0.049610
,1011.313843,0.037814,1443.196167,0.049610
,1011.330139,0.037815,1443.212402,0.049611
,1011.346497,0.037815,1443.228638,0.049612
,1011.362793,0.037815,1443.244873,0.049612
,1011.379089,0.037816,1443.261108,0.049613
,1011.395447,0.037816,1443.277344,0.049613
,1011.411743,0.037816,1443.293579,0.049614
,1011.428101,0.037817,1443.309814,0.049615
,1011.444397,0.037817,1443.326050,0.049615
,1011.460693,0.037817,1443.342285,0.049616
,1011.477051,0.037818,1443.358521,0.049616
,1011.493347,0.037818,1443.374756,0.049617
,1011.509705,0.037818,1443.390991,0.049618
,1011.526001,0.037818,1443.407227,0.049618
,1011.542297,0.037819,1443.423462,0.049619
,1011.558655,0.037819,1443.439697,0.049619
,1011.574951,0.037819,1443.455933,0.049620
,1011.591248,0.037820,1443.472290,0.049621
,1011.607605,0.037820,1443.488525,0.049621
,1011.623901,0.037820,1443.504761,0.049622
,1011.640259,0.037821,1443.520996,0.049622
,1011.656555,0.037821,1443.537231,0.049623
,1011.672852,0.037821,1443.553467,0.049623
,1011.689209,0.037822,1443.569702,0.049624
,1011.705505,0.037822,1443.585938,0.049625
,1011.721863,0.037822,1443.602173,0.049625
,1011.738159,0.037823,1443.618408,0.049626
,1011.754456,0.037823,1443.634644,0.049626
,1011.770813,0.037823,1443.650879,0.049627
,1011.787109,0.037824,1443.667114,0.049628
,1011.803406,0.037824,1443.683350,0.049628
,1011.819763,0.037824,1443.699585,0.049629
,1011.836060,0.037825,1443.715820,0.049629
,1011.852417,0.037825,1443.732056,0.049630
,1011.868713,0.037825,1443.748291,0.049631
,1011.885010,0.037826,1443.764526,0.049631
,1011.901367,0.037826,1443.780762,0.049632
,1011.917664,0.037826,1443.796997,0.049632
,1011.933960,0.037827,1443.813232,0.049633
,1011.950317,0.037827,1443.829468,0.049634
,1011.966614,0.037827,1443.845703,0.049634
,1011.982971,0.037828,1443.861938,0.049635
,1011.999268,0.037828,1443.878296,0.049635
,1012.015564,0.037828,1443.894531,0.049636
,1012.031921,0.037829,1443.910767,0.049637
,1012.048218,0.037829,1443.927002,0.049637
,1012.064575,0.037829,1443.943237,0.049638
,1012.080872,0.037830,1443.959473,0.049638
,1012.097168,0.037830,1443.975708,0.049639
,1012.113525,0.037830,1443.991943,0.049640
