Datos principales,Tiempo serie 1,Datos serie 1,Tiempo serie 2,Datos serie 2,
Velocidad de Marte,1011.248535,0.151188,1443.131226,0.055527
687,1011.264893,0.151198,1443.147461,0.055529
0.052364,1011.281189,0.151207,1443.163696,0.055530
,1011.297546,0.151216,1443.179932,0.055532
,1011.313843,0.151225,1443.196167,0.055533
,1011.330139,0.151234,1443.212402,0.055535
,1011.346497,0.151244,1443.228638,0.055536
,1011.362793,0.151253,1443.244873,0.055538
,1011.379089,0.151262,1443.261108,0.055539
,1011.395447,0.151271,1443.277344,0.055541
,1011.411743,0.151280,1443.293579,0.055542
,1011.428101,0.151290,1443.309814,0.055544
,1011.444397,0.151299,1443.326050,0.055545
,1011.460693,0.151308,1443.342285,0.055547
,1011.477051,0.151317,1443.358521,0.055548
,1011.493347,0.151326,1443.374756,0.055550
,1011.509705,0.151335,1443.390991,0.055551
,1011.526001,0.151345,1443.407227,0.055553
,1011.542297,0.151354,1443.423462,0.055554
,1011.558655,0.151363,1443.439697,0.055556
,1011.574951,0.151372,1443.455933,0.055557
,1011.591248,0.151381,1443.472290,0.055559
,1011.607605,0.151390,1443.488525,0.055560
,1011.623901,0.151399,1443.504761,0.055562
,1011.640259,0.151408,1443.520996,0.055563
,1011.656555,0.151417,1443.537231,0.055565
,1011.672852,0.151427,1443.553467,0.055566
,1011.689209,0.151436,1443.569702,0.055568
,1011.705505,0.151445,1443.585938,0.055569
,1011.721863,0.151454,1443.602173,0.055571
,1011.738159,0.151463,1443.618408,0.055572
,1011.754456,0.151472,1443.634644,0.055574
,1011.770813,0.151481,1443.650879,0.055575
,1011.787109,0.151490,1443.667114,0.055577
,1011.803406,0.151499,1443.683350,0.055578
,1011.819763,0.151508,1443.699585,0.055580
,1011.836060,0.151517,1443.715820,0.055581
,1011.852417,0.151526,1443.732056,0.055583
,1011.868713,0.151535,1443.748291,0.055584
,1011.885010,0.151544,1443.764526,0.055586
,1011.901367,0.151553,1443.780762,0.055587
,1011.917664,0.151562,1443.796997,0.055589
,1011.933960,0.151571,1443.813232,0.055590
,1011.950317,0.151580,1443.829468,0.055592
,1011.966614,0.151589,1443.845703,0.055593
,1011.982971,0.151598,1443.861938,0.055595
,1011.999268,0.151607,1443.878296,0.055596
,1012.015564,0.151616,1443.894531,0.055598
,1012.031921,0.151625,1443.910767,0.055599
,1012.048218,0.151634,1443.927002,0.055601
,1012.064575,0.151643,1443.943237,0.055602
,1012.080872,0.151652,1443.959473,0.055604
,1012.097168,0.151661,1443.975708,0.055605
,1012.113525,0.151670,1443.991943,0.055607
,1012.129822,0.151679,1444.008179,0.055608
,1012.146118,0.151688,1444.024414,0.055610
,1012.162476,0.151697,1444.040649,0.055611
,1012.178772,0.151706,1444.056885,0.055613
,1012.195129,0.151715,1444.073120,0.055614
,1012.211426,0.151723,1444.089355,0.055616
,1012.227722,0.151732,1444.105591,0.055617
,1012.244080,0.151741,1444.121826,0.055619
,1012.260376,0.151750,1444.138062,0.055620
,1012.276733,0.151759,1444.154297,0.055622
,1012.293030,0.151768,1444.170532,0.055623
,1012.309326,0.151777,1444.186768,0.055625
,1012.325684,0.151786,1444.203003,0.055626
,1012.341980,0.151794,1444.219238,0.055628
,1012.358276,0.151803,1444.235474,0.055629
,1012.374634,0.151812,1444.251709,0.055631
,1012.390930,0.151821,1444.267944,0.055632
,1012.407288,0.151830,1444.284302,0.055634
,1012.423584,0.151839,1444.300537,0.055636
,1012.439880,0.151847,1444.316772,0.055637
,1012.456238,0.151856,1444.333008,0.055639
,1012.472534,0.151865,1444.349243,0.055640
,1012.488892,0.151874,1444.365479,0.055642
,1012.505188,0.151883,1444.381714,0.055643
,1012.521484,0.151891,1444.397949,0.055645
,1012.537842,0.151900,1444.414185,0.055646
,1012.554138,0.151909,1444.430420,0.055648
,1012.570435,0.151918,1444.446655,0.055649
,1012.586792,0.151927,1444.462891,0.055651
,1012.603088,0.151935,1444.479126,0.055652
,1012.619446,0.151944,1444.495361,0.055654
,1012.635742,0.151953,1444.511597,0.055655
,1012.652039,0.151962,1444.527832,0.055657
,1012.668396,0.151970,1444.544067,0.055658
,1012.684692,0.151979,1444.560303,0.055660
,1012.701050,0.151988,1444.576538,0.055661
,1012.717346,0.151997,1444.592773,0.055663
,1012.733643,0.152005,1444.609009,0.055664
,1012.750000,0.152014,1444.625244,0.055666
,1012.766296,0.152023,1444.641479,0.055668
,1012.782593,0.152031,1444.657715,0.055669
,1012.798950,0.152040,1444.673950,0.055671
,1012.815247,0.152049,1444.690186,0.055672
,1012.831604,0.152058,1444.706543,0.055674
,1012.847900,0.152066,1444.722778,0.055675
,1012.864197,0.152075,1444.739014,0.055677
,1012.880554,0.152084,1444.755249,0.055678
,1012.896851,0.152092,1444.771484,0.055680
,1012.913208,0.152101,1444.787720,0.055681
,1012.929504,0.152110,1444.803955,0.055683
,1012.945801,0.152118,1444.820190,0.055684
,1012.962158,0.152127,1444.836426,0.055686
,1012.978455,0.152136,1444.852661,0.055687
,1012.994751,0.152144,1444.868896,0.055689
,1013.011108,0.152153,1444.885132,0.055690
,1013.027405,0.152161,1444.901367,0.055692
,1013.043762,0.152170,1444.917603,0.055693
,1013.060059,0.152179,1444.933838,0.055695
,1013.076355,0.152187,1444.950073,0.055697
,1013.092712,0.152196,1444.966309,0.055698
,1013.109009,0.152204,1444.982544,0.055700
,1013.125366,0.152213,1444.998779,0.055701
,1013.141663,0.152222,1445.015015,0.055703
,1013.157959,0.152230,1445.031250,0.055704
,1013.174316,0.152239,1445.047485,0.055706
,1013.190613,0.152247,1445.063721,0.055707
,1013.206909,0.152256,1445.079956,0.055709
,1013.223267,0.152264,1445.096191,0.055710
,1013.239563,0.152273,1445.112549,0.055712
